Brewery,Beer Name,Description,ABV,Festival Location
Cantillon,Rosé de Gambrinus 2022,Fruit Lambic w/ Raspberries,5.0%,Poseidon
Casita,Forget About The World,"Fruited Sour Ale w/ Raspberry, Pineapple & Black Currant",6.0%,Drogon
Casita,Something So Sincere 2022,"Barrel-Aged Strong Ale w/ Raisins, Cherries, Citrus & Spices",13.0%,Drogon
Cerebral,Anomaly Detection,Wine Barrel-Aged Festbier,5.6%,Poseidon
Cerebral,Scam Likely: Nelson,Hazy Double IPA w/ Nelson Sauvin,8.0%,Poseidon
Charles Towne,Olo,Mixed Fermentation Ale w/ Wine Grape Must,12.0%,Demogorgon
Charles Towne,Pub Ale: Nitro,Ordinary Bitter (Nitro Pour),4.3%,Demogorgon
City-State,Lime Hibiscus Rickey,Fruited Sour Ale w/ Lime & Hibiscus,5.0%,Poseidon
City-State,Oktoberfest,Festbier,6.0%,Poseidon
Civil Society,Beach To Myself,"Hazy Double IPA w/ Mosaic, Nelson Sauvin & Motueka (Vitamin Sea Collab.)",8.4%,Gargoyle
Civil Society,Chicken Tendie Sub,"Hazy Double IPA w/ Mosaic, Citra, El Dorado & Cashmere",9.5%,Gargoyle
Cohesion,12°,Czech Pale Lager,4.8%,Jabberwock
Cohesion,8°,Czech Table Beer w/ Sládek & Saaz Hops,3.1%,Jabberwock
Commonwealth,Black Still Neat,Bourbon Barrel-Aged Imperial Stout,12.6%,Poseidon
Commonwealth,Pink Fluffy Unicorns,Hazy Triple IPA w/ Pink Guava,10.0%,Poseidon
Coniston,Bluebird Bitter: Premium XB,Ordinary Bitter w/ Mt. Hood Hops,3.6%,Nessie
Coniston,Old Man Ale,English Brown Ale,4.8%,Nessie
Creature Comforts,Over & Over,Czech Pale Lager,5.0%,Nessie
Creature Comforts,Table Flipper,American IPA,9.5%,Nessie
Crooked Crab,Basil Hayden's Barrel-Aged Clash of Kings 2022,"Bourbon Barrel-Aged Imperial Stout w/ Thai Banana, Vanilla, Cocoa Nibs & Coconut",12.0%,Medusa
Crooked Crab,Crabnarok ,"Hazy Double IPA w/ Enigma, Mosaic & Revolution",8.5%,Medusa
Crooked Crab,Triple Cherry Cobbler Punchline,"Fruited Sour Ale w/ Cherry, Graham Crackers, Marshmallows, Vanilla, Spices & Milk Sugar",8.0%,Medusa
Crooked Run,Aronia,Mixed Fermentation Ale w/ Chokeberries & Vanilla,5.5%,Demogorgon
Crooked Run,Clinch Valley,Saison w/ Red Spruce Tips,5.0%,Demogorgon
Crooked Run,Motorhead,Schwarzbier,5.0%,Demogorgon
Crooked Run,Orange ,Skin Contact Wine w/ Chardonnay Grapes,11.5%,Demogorgon
Cushwa,Captain Cuvee & The Sour Beers,"Fruited Sour Ale w/ Blueberry, Raspberry, Blue Raspberry Hard Candy & Ice Cream",6.0%,Cyclops
Cushwa,Counting UFOs,"Hazy Double IPA w/ El Dorado, Motueka, Topaz & Wakatu",8.2%,Cyclops
Cycle,8 Year,Bourbon & Rye Barrel-Aged Imperial Stout,12.0%,Jabberwock
